"classe";"classe_id";"b1";"b2";"b3";"b4";"b5";"b6"
"urbain";1;4.09343;7.03768;6.63596;28.36947;17.26377;15.10871
"urbain";1;3.58175;6.03229;6.39018;31.52164;12.79409;11.36669
"urbain";1;6.82239;9.38357;9.58527;24.42927;19.39219;20.34753
"urbain";1;1.7056;4.35666;4.17819;33.88576;14.49683;9.86988
"urbain";1;2.89951;5.69717;5.40708;25.61133;13.21977;15.48291
"sol nu";2;8.0163;14.07535;17.20433;37.03792;35.56819;40.55443
"sol nu";2;6.99295;13.06997;15.97545;36.24988;33.01408;34.9414
"sol nu";2;10.5747;18.76714;22.85719;44.91833;41.74061;49.90947
"sol nu";2;6.99295;13.4051;16.22123;35.46184;31.73703;34.193
"sol nu";2;6.31071;12.06459;14.00924;36.6439;32.37556;31.94779
"bois";3;1.19392;3.35127;2.70354;42.55421;13.21977;6.50207
"bois";3;1.19392;3.01615;2.70354;42.55421;10.45283;5.37946
"bois";3;0.51168;2.68102;2.21199;49.25256;14.49683;6.12787
"bois";3;1.87616;3.35127;3.44087;43.34225;13.21977;8.37308
"bois";3;1.36448;3.35127;3.19509;40.19009;10.45283;6.50207
"veg. basse";4;2.04672;4.35666;3.44087;56.34492;8.11156;3.88266
"veg. basse";4;1.36448;5.02691;3.44087;56.34492;14.70967;8.74728
"veg. basse";4;1.87616;4.02153;3.93242;46.10039;11.94272;6.87627
"veg. basse";4;2.38784;5.69717;4.17819;58.31503;10.45283;5.75366
"veg. basse";4;1.7056;4.69178;3.68664;56.34492;9.17577;3.88266
